symbol,timestamp,interval,open,high,low,close,volume
AAPL,2025-11-03T09:00:00.002409,tick,269.7,269.7,269.7,269.7,1.0
AAPL,2025-11-03T09:00:00.010186,tick,271.0,271.0,271.0,271.0,2.0
AAPL,2025-11-03T09:00:00.010195,tick,271.0,271.0,271.0,271.0,16.0
AAPL,2025-11-03T09:00:00.010277,tick,271.4,271.4,271.4,271.4,32.0
AAPL,2025-11-03T09:00:00.010285,tick,270.37,270.37,270.37,270.37,10.0
AAPL,2025-11-03T09:00:00.011564,tick,270.0,270.0,270.0,270.0,1.0
AAPL,2025-11-03T09:00:00.011585,tick,269.91,269.91,269.91,269.91,25.0
AAPL,2025-11-03T09:00:00.011975,tick,269.8,269.8,269.8,269.8,10.0
AAPL,2025-11-03T09:00:00.011989,tick,269.8,269.8,269.8,269.8,3.0
AAPL,2025-11-03T09:00:00.012024,tick,269.77,269.77,269.77,269.77,1.0
AAPL,2025-11-03T09:00:00.012043,tick,269.56,269.56,269.56,269.56,2.0
AAPL,2025-11-03T09:00:00.012053,tick,269.26,269.26,269.26,269.26,36.0
AAPL,2025-11-03T09:00:00.012171,tick,269.8,269.8,269.8,269.8,22.0
AAPL,2025-11-03T09:00:00.012188,tick,270.0,270.0,270.0,270.0,78.0
AAPL,2025-11-03T09:00:00.012206,tick,270.0,270.0,270.0,270.0,41.0
AAPL,2025-11-03T09:00:00.012477,tick,270.0,270.0,270.0,270.0,2.0
AAPL,2025-11-03T09:00:00.012519,tick,270.0,270.0,270.0,270.0,20.0
AAPL,2025-11-03T09:00:00.012797,tick,270.0,270.0,270.0,270.0,2.0
AAPL,2025-11-03T09:00:00.013467,tick,270.0,270.0,270.0,270.0,23.0
AAPL,2025-11-03T09:00:00.013491,tick,270.0,270.0,270.0,270.0,20.0
AAPL,2025-11-03T09:00:00.014789,tick,269.98,269.98,269.98,269.98,1.0
AAPL,2025-11-03T09:00:00.014848,tick,269.98,269.98,269.98,269.98,10.0
AAPL,2025-11-03T09:00:00.015250,tick,269.98,269.98,269.98,269.98,1.0
AAPL,2025-11-03T09:00:00.015369,tick,269.98,269.98,269.98,269.98,1.0
AAPL,2025-11-03T09:00:00.015442,tick,269.98,269.98,269.98,269.98,2.0
AAPL,2025-11-03T09:00:00.015456,tick,270.0,270.0,270.0,270.0,48.0
AAPL,2025-11-03T09:00:00.015683,tick,270.0,270.0,270.0,270.0,1.0
AAPL,2025-11-03T09:00:00.015888,tick,270.0,270.0,270.0,270.0,521.0
AAPL,2025-11-03T09:00:00.015897,tick,270.0,270.0,270.0,270.0,18.0
AAPL,2025-11-03T09:00:00.015976,tick,270.0,270.0,270.0,270.0,2.0
AAPL,2025-11-03T09:00:00.015994,tick,270.04,270.04,270.04,270.04,5.0
AAPL,2025-11-03T09:00:00.016146,tick,270.12,270.12,270.12,270.12,1.0
AAPL,2025-11-03T09:00:00.016187,tick,270.1,270.1,270.1,270.1,1.0
AAPL,2025-11-03T09:00:00.016606,tick,270.12,270.12,270.12,270.12,5.0
AAPL,2025-11-03T09:00:00.016614,tick,270.37,270.37,270.37,270.37,15.0
AAPL,2025-11-03T09:00:00.016628,tick,270.5,270.5,270.5,270.5,23.0
AAPL,2025-11-03T09:00:00.017104,tick,270.5,270.5,270.5,270.5,5.0
AAPL,2025-11-03T09:00:00.017169,tick,270.5,270.5,270.5,270.5,2.0
AAPL,2025-11-03T09:00:00.017178,tick,270.6,270.6,270.6,270.6,2.0
AAPL,2025-11-03T09:00:00.017478,tick,270.5,270.5,270.5,270.5,3.0
AAPL,2025-11-03T09:00:00.017636,tick,270.5,270.5,270.5,270.5,3.0
AAPL,2025-11-03T09:00:00.017995,tick,270.5,270.5,270.5,270.5,4.0
AAPL,2025-11-03T09:00:00.018082,tick,270.5,270.5,270.5,270.5,240.0
AAPL,2025-11-03T09:00:00.047452,tick,270.29,270.29,270.29,270.29,56.0
AAPL,2025-11-03T09:00:00.049898,tick,270.27,270.27,270.27,270.27,1.0
AAPL,2025-11-03T09:00:00.052418,tick,270.0,270.0,270.0,270.0,28.0
AAPL,2025-11-03T09:00:00.056034,tick,270.0,270.0,270.0,270.0,1.0
AAPL,2025-11-03T09:00:00.081386,tick,270.5,270.5,270.5,270.5,47.0
AAPL,2025-11-03T09:00:00.082159,tick,270.5,270.5,270.5,270.5,2.0
AAPL,2025-11-03T09:00:00.082473,tick,270.36,270.36,270.36,270.36,1.0
AAPL,2025-11-03T09:00:00.082490,tick,270.38,270.38,270.38,270.38,1.0
AAPL,2025-11-03T09:00:00.082511,tick,270.48,270.48,270.48,270.48,4.0
AAPL,2025-11-03T09:00:00.082524,tick,270.49,270.49,270.49,270.49,4.0
AAPL,2025-11-03T09:00:00.082542,tick,270.49,270.49,270.49,270.49,1.0
AAPL,2025-11-03T09:00:00.124170,tick,270.5,270.5,270.5,270.5,2.0
AAPL,2025-11-03T09:00:00.124174,tick,270.5,270.5,270.5,270.5,2.0
AAPL,2025-11-03T09:00:00.124182,tick,270.52,270.52,270.52,270.52,1.0
AAPL,2025-11-03T09:00:00.124195,tick,270.56,270.56,270.56,270.56,10.0
AAPL,2025-11-03T09:00:00.150831,tick,270.56,270.56,270.56,270.56,100.0
AAPL,2025-11-03T09:00:01.580113,tick,270.38,270.38,270.38,270.38,1.0
AAPL,2025-11-03T09:00:01.583406,tick,270.59,270.59,270.59,270.59,1.0
AAPL,2025-11-03T09:00:01.583587,tick,270.38,270.38,270.38,270.38,1.0
AAPL,2025-11-03T09:00:01.600748,tick,270.59,270.59,270.59,270.59,5.0
AAPL,2025-11-03T09:00:01.600800,tick,270.59,270.59,270.59,270.59,2.0
AAPL,2025-11-03T09:00:01.625463,tick,270.59,270.59,270.59,270.59,3.0
AAPL,2025-11-03T09:00:01.675711,tick,270.38,270.38,270.38,270.38,2.0
AAPL,2025-11-03T09:00:01.675801,tick,270.38,270.38,270.38,270.38,4.0
AAPL,2025-11-03T09:00:01.675968,tick,270.38,270.38,270.38,270.38,1.0
AAPL,2025-11-03T09:00:01.755698,tick,270.38,270.38,270.38,270.38,1.0
AAPL,2025-11-03T09:00:01.783065,tick,270.59,270.59,270.59,270.59,1.0
